Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year Joined,Valuation(billions)
Bytedance,$180B,2017-04-07,Artificial intelligence,Beijing,China,Asia,2012,$8B,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2017,180
SpaceX,$100B,2012-12-01,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,100
SHEIN,$100B,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,100
Stripe,$95B,2014-01-23,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG",2014,95
Klarna,$46B,2011-12-12,Fintech,Stockholm,Sweden,Europe,2005,$4B,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2011,46
Canva,$40B,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,40
Checkout.com,$40B,2019-05-02,Fintech,London,United Kingdom,Europe,2012,$2B,"Tiger Global Management, Insight Partners, DST Global",2019,40
Instacart,$39B,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2014,39
JUUL Labs,$38B,2017-12-20,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,2017,38
Databricks,$38B,2019-02-05,Data management & analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,38
Revolut,$33B,2018-04-26,Fintech,London,United Kingdom,Europe,2015,$2B,"index Ventures, DST Global, Ribbit Capital",2018,33
Epic Games,$32B,2018-10-26,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures",2018,32
FTX,$32B,2021-07-20,Fintech,,Bahamas,North America,2018,$2B,"Sequoia Capital, Thoma Bravo, Softbank",2021,32
Fanatics,$27B,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",2012,27
Chime,$25B,2019-03-05,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew",2019,25
BYJU's,$22B,2017-07-25,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2017,22
J&T Express,$20B,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2021,20
Xiaohongshu,$20B,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent",2016,20
Miro,$18B,2022-01-05,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures",2022,18
Yuanfudao,$17B,2017-05-31,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital",2017,17
Rapyd,$15B,2019-12-03,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners",2019,15
Discord,$15B,2018-04-20,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings",2018,15
Genki Forest,$15B,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2020,15
goPuff,$15B,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital",2020,15
Blockchain.com,$14B,2021-02-17,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar",2021,14
Plaid,$13B,2018-12-11,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures",2018,13
Devoted Health,$13B,2018-10-16,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock",2018,13
OpenSea,$13B,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2021,13
Grammarly,$13B,2019-10-10,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital",2019,13
Argo AI,$12B,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles",2019,12
Northvolt,$12B,2019-06-12,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs",2019,12
Faire,$12B,2019-10-30,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2019,12
Airtable,$12B,2018-11-15,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective",2018,12
Brex,$12B,2018-10-05,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management",2018,12
Getir,$12B,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital",2021,12
Biosplice Therapeutics,$12B,2018-08-06,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech",2018,12
Bitmain,$12B,2018-07-06,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital",2018,12
GoodLeap,$12B,2021-10-13,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2021,12
Xingsheng Selected,$12B,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China",2020,12
ZongMu Technology,$11B,2021-06-03,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures",2021,11
Bolt,$11B,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments",2018,11
Swiggy,$11B,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners",2018,11
Weilong Foods,$11B,2021-05-08,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",2021,11
Global Switch,$11B,2016-12-22,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016,11
Bolt,$11B,2021-10-08,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic",2021,11
Celonis,$11B,2018-06-26,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North",2018,11
Zuoyebang,$10B,2018-07-18,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018,10
Ripple,$10B,2019-12-20,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners",2019,10
OYO Rooms,$10B,2018-09-25,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2018,10
OutSystems,$10B,2018-06-05,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity",2018,10
ServiceTitan,$10B,2018-11-14,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2018,10
Alchemy,$10B,2021-10-28,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition",2021,10
Chehaoduo,$10B,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital",2016,10
Digital Currency Group,$10B,2021-11-01,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group",2021,10
Figma,$10B,2020-04-30,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2020,10
Gusto,$10B,2015-12-18,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015,10
Lalamove,$10B,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019,10
Notion Labs,$10B,2020-04-01,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures",2020,10
reddit,$10B,2017-07-31,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management",2017,10
Talkdesk,$10B,2018-10-03,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures",2018,10
Thrasio,$10B,2020-07-15,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International",2020,10
Dunamu,$9B,2021-07-22,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",2021,9
Yanolja,$9B,2019-06-10,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC",2019,9
Pony.ai,$9B,2018-07-11,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures",2018,9
Nuro,$9B,2019-02-11,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital",2019,9
Snyk,$9B,2020-01-21,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel",2020,9
Kavak,$9B,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca",2020,9
N26,$9B,2019-01-10,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019,9
Klaviyo,$9B,2020-11-17,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital",2020,9
Niantic,$9B,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital",2017,9
Tanium,$9B,2015-03-31,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015,9
Dream11,$8B,2019-04-09,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019,8
DJI Innovations,$8B,2015-01-23,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital",2015,8
Netskope,$8B,2018-11-13,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel",2018,8
Razorpay,$8B,2020-10-11,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020,8
Dapper Labs,$8B,2021-03-30,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz",2021,8
Lacework,$8B,2021-01-07,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",2021,8
Tipalti,$8B,2020-10-06,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11",2020,8
Hopin,$8B,2020-11-10,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners",2020,8
Caris Life Sciences,$8B,2021-05-12,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021,8
Ramp,$8B,2021-03-29,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management",2021,8
Tempus,$8B,2018-03-21,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank",2018,8
Fireblocks,$8B,2021-07-27,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group",2021,8
Flexport,$8B,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital",2018,8
National Stock Exchange of India,$7B,2020-07-01,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth",2020,7
Meicai,$7B,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016,7
Impossible Foods,$7B,2019-05-13,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2019,7
CRED,$7B,2021-04-06,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India",2021,7
Attentive,$7B,2020-09-23,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020,7
Ola Cabs,$7B,2014-10-27,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital",2014,7
Rippling,$7B,2020-08-04,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020,7
Carta,$7B,2019-05-06,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures",2019,7
